model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,market_value
 8 Series,2019,59694,Semi-Auto,2881,Petrol,150,31.7,3.0,58703.465
 X5,2020,56270,Semi-Auto,117,Diesel,145,36.7,3.0,58592.49
 8 Series,2019,59000,Semi-Auto,5923,Diesel,150,39.8,3.0,58410.81
 8 Series,2019,59990,Semi-Auto,5441,Diesel,145,40.4,3.0,58245.11
 X3,2019,58994,Semi-Auto,3017,Petrol,145,24.8,3.0,58232.234
 M5,2019,58991,Semi-Auto,16529,Petrol,145,26.9,4.4,58166.086
 X5,2019,61682,Semi-Auto,10782,Diesel,145,33.6,3.0,57865.066
 X5,2019,61550,Automatic,11311,Diesel,150,33.6,3.0,57771.766
 X5,2019,56990,Semi-Auto,8637,Diesel,145,33.6,3.0,57644.004
 X5,2017,57990,Automatic,10,Diesel,145,42.8,3.0,57544.215
 X6,2020,54975,Semi-Auto,1075,Petrol,150,26.4,3.0,57329.117
 X5,2019,56995,Semi-Auto,3677,Diesel,145,33.6,3.0,57278.094
 X5,2019,58000,Automatic,4010,Diesel,145,33.6,3.0,57267.6
 X6,2019,59991,Automatic,4509,Diesel,145,34.9,3.0,57265.016
 8 Series,2019,57000,Semi-Auto,12,Diesel,150,39.8,3.0,57262.004
 X6,2019,58700,Automatic,9010,Diesel,145,34.9,3.0,57235.94
 i8,2018,57870,Automatic,11278,Hybrid,135,134.5,1.5,57233.223
 X5,2019,59000,Semi-Auto,3276,Diesel,145,33.6,3.0,57226.438
 X5,2019,59980,Semi-Auto,9257,Diesel,150,33.6,3.0,57177.7
 X5,2019,56980,Semi-Auto,11449,Diesel,145,33.6,3.0,57125.06
 M4,2020,45990,Semi-Auto,6,Petrol,145,34.0,3.0,57106.21
 M4,2020,59995,Semi-Auto,5,Petrol,145,34.0,3.0,57106.21
 X5,2019,56980,Semi-Auto,9192,Diesel,145,33.6,3.0,57045.55
 7 Series,2017,57000,Automatic,11297,Petrol,145,22.1,6.6,57017.668
 X5,2019,56980,Semi-Auto,9029,Diesel,145,33.6,3.0,57000.7
 X5,2019,56990,Semi-Auto,8000,Diesel,145,33.6,3.0,56839.18
 X6,2019,55990,Automatic,6222,Diesel,145,34.9,3.0,56812.316
 8 Series,2020,56990,Semi-Auto,3242,Petrol,150,33.6,3.0,56761.527
 8 Series,2019,56950,Semi-Auto,9731,Diesel,145,39.8,3.0,56748.5
 X5,2019,57950,Semi-Auto,4897,Diesel,145,33.6,3.0,56727.418
 X6,2020,57990,Semi-Auto,3955,Diesel,145,34.9,3.0,56665.555
 X6,2019,56290,Automatic,5980,Diesel,145,34.9,3.0,56656.195
 X6,2020,56000,Automatic,7486,Diesel,145,34.9,3.0,56651.688
 X5,2019,55990,Semi-Auto,6007,Diesel,145,33.6,3.0,56618.105
 X6,2020,55985,Semi-Auto,1365,Diesel,145,34.9,3.0,56605.203
 X5,2019,56980,Semi-Auto,12173,Diesel,145,33.6,3.0,56595.914
 X5,2019,56450,Semi-Auto,4445,Diesel,145,33.6,3.0,56563.75
 X6,2019,57000,Automatic,8480,Diesel,150,34.9,3.0,56555.086
 X3,2019,59995,Semi-Auto,4741,Petrol,145,24.8,3.0,56510.59
 X6,2020,59989,Semi-Auto,3000,Diesel,145,34.9,3.0,56501.215
 X6,2020,55995,Semi-Auto,5000,Diesel,145,34.9,3.0,56313.53
 X6,2019,58990,Semi-Auto,3371,Diesel,145,34.9,3.0,56203.777
 7 Series,2019,59995,Semi-Auto,1501,Diesel,145,41.5,3.0,56143.258
 X5,2019,53500,Automatic,6601,Diesel,145,33.6,3.0,56057.984
 7 Series,2020,57980,Semi-Auto,3301,Diesel,145,41.5,3.0,56000.31
 X6,2019,56995,Semi-Auto,2055,Diesel,145,34.9,3.0,55989.215
 X6,2019,59990,Semi-Auto,2137,Diesel,145,34.9,3.0,55989.215
 8 Series,2019,55980,Automatic,10000,Diesel,145,40.4,3.0,55977.5
 X3,2019,56322,Semi-Auto,4620,Petrol,145,24.8,3.0,55949.074
 X5,2019,52995,Semi-Auto,10100,Diesel,145,33.6,3.0,55917.824
 X6,2020,55500,Semi-Auto,9612,Diesel,145,34.9,3.0,55911.086
 X6,2020,55890,Semi-Auto,9710,Diesel,145,34.9,3.0,55911.086
 X3,2019,56000,Semi-Auto,4187,Petrol,145,24.8,3.0,55903.254
 X6,2019,54995,Semi-Auto,3455,Diesel,145,34.9,3.0,55859.066
 X5,2019,61083,Semi-Auto,2151,Diesel,145,33.6,3.0,55815.848
 7 Series,2019,47975,Semi-Auto,1075,Diesel,145,41.5,3.0,55782.676
 X3,2019,54995,Semi-Auto,4490,Petrol,145,24.8,3.0,55721.06
 X6,2019,55995,Semi-Auto,1500,Diesel,145,34.9,3.0,55670.637
 X5,2019,54990,Semi-Auto,7153,Diesel,150,33.6,3.0,55646.78
 X6,2019,61895,Semi-Auto,1629,Diesel,145,34.9,3.0,55625.254
 X5,2019,51990,Semi-Auto,7300,Diesel,150,33.6,3.0,55597.074
 X6,2019,52990,Semi-Auto,3086,Diesel,145,34.9,3.0,55525.3
 X6,2019,55000,Semi-Auto,2455,Diesel,145,34.9,3.0,55422.926
 X5,2019,51980,Semi-Auto,4484,Diesel,150,33.6,3.0,55419.89
 X3,2019,54595,Semi-Auto,1604,Petrol,145,24.8,3.0,55300.164
 X3,2019,54980,Semi-Auto,1525,Petrol,145,24.8,3.0,55294.266
 X3,2019,54783,Semi-Auto,7536,Petrol,145,24.8,3.0,55227.113
 7 Series,2020,54995,Semi-Auto,1501,Diesel,145,42.2,3.0,55166.81
 X5,2019,54750,Semi-Auto,18673,Diesel,145,33.6,3.0,55155.785
 M5,2018,65948,Automatic,13500,Petrol,150,24.1,4.4,55079.97
 X6,2020,55890,Semi-Auto,3340,Diesel,145,34.9,3.0,55039.492
 X6,2020,52990,Semi-Auto,3200,Diesel,145,34.9,3.0,55025.207
 X3,2019,54000,Automatic,2209,Petrol,145,24.8,3.0,55019.316
 X3,2019,57680,Automatic,1405,Petrol,145,24.8,3.0,55010.99
 X3,2019,55610,Automatic,3367,Petrol,145,24.8,3.0,54942.008
 M4,2018,55991,Semi-Auto,4000,Petrol,145,33.6,3.0,54846.78
 X3,2019,56240,Automatic,6000,Petrol,145,24.8,3.0,54835.66
 X5,2019,58898,Semi-Auto,100,Diesel,150,37.7,3.0,54778.285
 X3,2019,53898,Semi-Auto,6520,Petrol,145,24.8,3.0,54771.113
 X3,2019,56950,Semi-Auto,6597,Petrol,145,24.8,3.0,54771.113
 7 Series,2019,51950,Automatic,1775,Diesel,145,41.5,3.0,54663.473
 X3,2019,53990,Automatic,3961,Petrol,145,24.8,3.0,54649.35
 X4,2019,55000,Automatic,2233,Petrol,145,24.8,3.0,54469.45
 X3,2019,56000,Automatic,3771,Petrol,145,24.8,3.0,54434.586
 X3,2019,53950,Automatic,3512,Petrol,145,24.8,3.0,54360.008
 X3,2019,55320,Automatic,7154,Petrol,145,24.8,3.0,54168.84
 X5,2019,52990,Semi-Auto,10,Diesel,150,37.7,3.0,53980.062
 X5,2019,52990,Semi-Auto,10,Diesel,150,37.7,3.0,53980.062
 X5,2019,54900,Semi-Auto,10,Diesel,150,37.7,3.0,53980.062
 X5,2019,52875,Semi-Auto,10,Diesel,150,37.7,3.0,53980.062
 X5,2019,52990,Automatic,10,Diesel,145,37.7,3.0,53861.32
 X6,2019,52995,Semi-Auto,3455,Diesel,150,34.9,3.0,53848.36
 X3,2020,54990,Semi-Auto,2137,Hybrid,135,5.5,2.0,53826.887
 X5,2019,54995,Semi-Auto,102,Diesel,150,37.7,3.0,53756.035
 X5,2019,49990,Semi-Auto,102,Diesel,150,37.7,3.0,53756.035
 X5,2019,51990,Semi-Auto,102,Diesel,150,37.7,3.0,53756.035
 M3,2017,53995,Automatic,3824,Petrol,145,34.0,3.0,53725.402
 X5,2019,51500,Semi-Auto,10,Diesel,145,37.7,3.0,53698.562
 X5,2019,58898,Semi-Auto,10,Diesel,145,37.7,3.0,53698.562
 M4,2020,56995,Semi-Auto,1200,Petrol,145,32.5,3.0,53623.758
 X5,2017,55990,Automatic,10,Diesel,145,47.1,3.0,53552.19
 X5,2017,50990,Automatic,10,Diesel,145,47.1,3.0,53552.19
 8 Series,2019,51980,Semi-Auto,5529,Diesel,150,40.4,3.0,53462.64
 7 Series,2019,53000,Semi-Auto,3000,Diesel,145,41.5,3.0,53457.492
 M4,2019,46950,Semi-Auto,4500,Petrol,150,32.5,3.0,53349.484
 X5,2020,54998,Semi-Auto,1500,Diesel,150,37.7,3.0,53347.152
 7 Series,2019,52900,Semi-Auto,2919,Diesel,145,41.5,3.0,53260.395
 X3,2020,53995,Semi-Auto,2000,Hybrid,135,5.5,2.0,53188.664
 i8,2018,55485,Automatic,13909,Hybrid,135,134.5,1.5,53132.36
 X5,2019,53850,Semi-Auto,16,Diesel,150,37.7,3.0,53052.51
 7 Series,2020,52999,Semi-Auto,5000,Diesel,145,42.2,3.0,53050.73
 X5,2018,51988,Automatic,9691,Petrol,150,25.4,4.4,52955.02
 7 Series,2019,53950,Automatic,8652,Diesel,145,41.5,3.0,52938.37
 7 Series,2019,55000,Automatic,8546,Diesel,145,41.5,3.0,52801.316
 7 Series,2020,53995,Semi-Auto,3500,Diesel,145,42.2,3.0,52777.055
 7 Series,2019,52990,Semi-Auto,4884,Diesel,145,41.5,3.0,52740.9
 X5,2019,52875,Semi-Auto,13,Diesel,150,37.7,3.0,52702.33
 X5,2019,51950,Semi-Auto,13,Diesel,150,37.7,3.0,52702.33
 X3,2020,52910,Semi-Auto,101,Hybrid,135,5.5,2.0,52660.906
 X5,2018,51999,Semi-Auto,15633,Petrol,145,25.4,4.4,52585.81
 X6,2020,49975,Semi-Auto,2950,Diesel,150,34.9,3.0,52583.184
 X5,2019,51950,Semi-Auto,101,Diesel,145,37.7,3.0,52575.12
 X5,2019,52450,Semi-Auto,101,Diesel,145,37.7,3.0,52575.12
 7 Series,2019,55156,Automatic,4330,Diesel,145,41.5,3.0,52516.258
 X5,2019,49403,Semi-Auto,100,Diesel,145,37.7,3.0,52505.973
 X5,2019,50832,Semi-Auto,100,Diesel,145,37.7,3.0,52505.973
 7 Series,2017,52950,Automatic,22000,Petrol,150,22.1,6.6,52470.137
 7 Series,2019,50850,Automatic,4202,Diesel,145,41.5,3.0,52400.418
 X5,2019,51995,Semi-Auto,11,Diesel,145,37.7,3.0,52364.32
 X5,2019,51995,Semi-Auto,11,Diesel,145,37.7,3.0,52364.32
 X5,2020,53990,Semi-Auto,6825,Diesel,150,37.7,3.0,52352.945
 X5,2019,53910,Automatic,123,Diesel,145,37.7,3.0,52302.094
 X5,2019,53150,Automatic,123,Diesel,145,37.7,3.0,52302.094
 X5,2019,54991,Automatic,15,Diesel,145,37.7,3.0,52301.676
 X5,2019,51990,Semi-Auto,12,Diesel,145,37.7,3.0,52297.715
 7 Series,2019,51990,Semi-Auto,4279,Diesel,145,41.5,3.0,52250.31
 X5,2020,51880,Semi-Auto,1501,Diesel,145,37.7,3.0,52247.58
 7 Series,2019,51500,Semi-Auto,561,Diesel,145,42.2,3.0,52225.55
 X5,2017,51990,Automatic,10,Diesel,200,47.1,3.0,52182.965
 X5,2020,57990,Semi-Auto,1500,Diesel,145,37.7,3.0,52176.664
 X5,2020,53988,Automatic,5000,Diesel,145,37.7,3.0,52087.668
 7 Series,2019,52700,Semi-Auto,706,Diesel,145,44.1,3.0,52007.324
 X5,2019,52950,Semi-Auto,3309,Petrol,145,27.2,3.0,51990.984
 M4,2020,49490,Semi-Auto,7,Petrol,145,32.5,3.0,51917.664
 7 Series,2020,53000,Semi-Auto,6555,Diesel,145,42.2,3.0,51843.027
 7 Series,2020,55489,Semi-Auto,10300,Diesel,145,41.5,3.0,51736.95
 M4,2020,53988,Automatic,5000,Petrol,145,34.0,3.0,51707.39
 X5,2019,50900,Automatic,99,Diesel,145,37.7,3.0,51686.26
 X5,2019,51000,Semi-Auto,3536,Petrol,145,27.2,3.0,51603.105
 i8,2017,52495,Automatic,17580,Hybrid,0,134.5,1.5,51569.004
 X5,2020,52990,Semi-Auto,5899,Diesel,145,37.7,3.0,51555.168
 X5,2019,52999,Semi-Auto,6297,Petrol,145,27.2,3.0,51288.168
 M4,2020,50000,Semi-Auto,700,Petrol,145,34.0,3.0,51204.19
 X5,2019,52995,Semi-Auto,5256,Petrol,145,27.2,3.0,51105.703
 M4,2020,49980,Semi-Auto,1000,Petrol,145,34.0,3.0,51074.125
 i8,2016,48998,Automatic,10087,Hybrid,0,134.5,1.5,51013.316
 X5,2019,52350,Automatic,4158,Petrol,145,27.2,3.0,50957.535
 X5,2020,48490,Semi-Auto,5656,Diesel,145,37.7,3.0,50909.402
 X5,2019,48990,Semi-Auto,6046,Petrol,145,27.2,3.0,50894.484
 3 Series,2020,53260,Semi-Auto,347,Petrol,145,33.6,3.0,50883.734
 X5,2019,52004,Semi-Auto,4000,Diesel,145,37.7,3.0,50876.477
 X4,2020,53630,Semi-Auto,117,Diesel,145,40.9,3.0,50843.54
 X5,2019,49990,Semi-Auto,751,Petrol,145,27.2,3.0,50781.8
 M4,2020,51000,Semi-Auto,2000,Petrol,145,32.5,3.0,50743.48
 X5,2019,51990,Semi-Auto,9607,Petrol,150,27.2,3.0,50663.617
 X5,2019,52490,Semi-Auto,7443,Petrol,145,27.2,3.0,50638.992
 7 Series,2019,49990,Automatic,123,Diesel,145,44.8,3.0,50614.69
 7 Series,2019,48782,Semi-Auto,101,Diesel,145,41.5,3.0,50602.11
 X5,2019,47995,Automatic,999,Diesel,145,37.7,3.0,50507.793
 X5,2019,49980,Semi-Auto,5881,Diesel,150,37.7,3.0,50469.35
 X5,2019,51990,Semi-Auto,5850,Diesel,150,37.7,3.0,50469.35
 X5,2019,51990,Semi-Auto,5849,Diesel,150,37.7,3.0,50469.35
 M4,2017,89990,Semi-Auto,1336,Petrol,145,33.2,3.0,50454.555
 M4,2018,51000,Automatic,3033,Petrol,145,33.6,3.0,50438.152
 X5,2019,51950,Automatic,5984,Petrol,145,27.2,3.0,50434.195
 M4,2019,53995,Semi-Auto,3452,Petrol,150,34.0,3.0,50425.902
 X5,2019,52500,Automatic,6283,Petrol,145,27.2,3.0,50285.703
 7 Series,2019,50390,Semi-Auto,2218,Petrol,145,33.6,3.0,50081.504
 X3,2020,51395,Semi-Auto,171,Diesel,145,48.7,3.0,50044.855
 X5,2019,49995,Semi-Auto,3724,Diesel,145,37.7,3.0,50023.348
 5 Series,2020,54845,Semi-Auto,450,Diesel,145,60.1,3.0,49976.984
 X5,2018,50495,Semi-Auto,31855,Petrol,145,25.4,4.4,49950.76
 X5,2019,52995,Semi-Auto,5853,Diesel,145,37.7,3.0,49897.59
 X5,2019,48836,Automatic,4553,Petrol,145,27.2,3.0,49889.266
 M4,2016,99950,Automatic,771,Petrol,300,33.2,3.0,49829.426
 X5,2019,50950,Semi-Auto,4322,Diesel,150,37.7,3.0,49806.914
 X5,2019,49490,Semi-Auto,3252,Diesel,145,37.7,3.0,49805.73
 X5,2019,50382,Semi-Auto,4846,Diesel,150,37.7,3.0,49753.3
